location,Total_Population,Percent_Fully_Vaccinated,Total_People_Vaccinated
Brunei,455374,0.9809827,446714.0160298
Singapore,5649888,0.9289906000000001,5248692.843052801
Vietnam,99680656,0.8623694999999999,85961557.474392
Cambodia,17201721,0.85417465,14693274.01457265
Malaysia,34695494,0.7940842,27551143.5965948
Thailand,71735321,0.7456032,53486084.8906272
Laos,7559008,0.6908865,5222416.580592
Philippines,113964343,0.6883203,78443970.7630629
Myanmar,53756791,0.6685257,35937796.3330287
Indonesia,278830527,0.62749634,174965135.1727712
